"Page / Category","Page / Feature",Impressions,Visits,"Owner Impressions","Owner Visits"
Wishlist,"Wishlist Image",2029,56,0,0
"Search Suggestions","Search Auto-complete",182,75,8,7
"Search Suggestions","Recently Viewed",354,2,24,2
"Direct Search Results","Search Results",346,25,1,1
"Tag Page","Faceted Browsing",104,1,0,0
"Tag Page","Browse Items - All",110,0,0,0
"Tag Page","Browse Items - Coming Soon",10,0,0,0
"Coming Soon - Full List","Browse Search Results",103,1,0,0
"Upcoming Releases Page","From Wishlist",32,0,0,0
"Upcoming Releases Page","Featured Recommendations",7,0,0,0
"Browse Search Results","Browse Search Results",32,13,0,0
"MacOS Hub","Faceted Browsing",15,0,0,0
"MacOS Hub",(Other),4,0,0,0
"MacOS Hub","Browse Items - All",8,0,0,0
"Browse Search Results By Tags","Browse Search Results",16,2,0,0
"Steam Controller Friendly Hub","Faceted Browsing",10,0,0,0
"Steam Controller Friendly Hub","Browse Items - All",1,0,0,0
"More Like This","More Like This",8,0,0,0
"More Like This","Coming Soon List",0,1,0,0
"Linux Hub","Faceted Browsing",7,0,0,0
"Community Hub - Discussions","Browse Topics",4,0,0,0
"Community Hub - Discussions","Single Topic",3,0,0,0
"Community Hub",Home,5,5,0,0
"Friend Activity Page","More Like This",4,0,0,0
"Recommendation Feed","Similar by wishlist",0,4,0,0
"Recommendation Feed","Similar by tags",1,0,0,0
"Home Page","Because You Played X",1,0,0,0
"Direct Navigation",(Other),0,429,0,9
"(other pages)",(Other),0,250,0,4
"External Website",twitter.com,0,34,0,0
"External Website",other,0,40,0,0
"External Website",Google,0,37,0,0
"External Website",youtube.com,0,24,0,0
"External Website",instagram,0,1,0,0
"External Website",facebook.com,0,1,0,0
"External Website",bing.com,0,1,0,0
"External Website",,0,0,0,0
"External Website",linktr,0,2,0,0
"Bot Traffic","Browse Search Results",0,25,0,0
"Bot Traffic",(Other),0,100,0,0
"Bot Traffic","Coming Soon List",0,2,0,0
"Bot Traffic","Trending Wishlist Section",0,2,0,0
"Bot Traffic",Breadcrumbs,0,2,0,0
"Valve Website",(Other),0,21,0,0
"Other Product Pages",Breadcrumbs,0,1,0,0
"Other Product Pages",#StoreMetrics_FeatureType_game-add-to-wishlist,0,0,0,0
"All Upcoming Releases Queue","All Upcoming Releases Queue",0,1,0,0
"Store Main Menu",(Other),0,1,0,0
Country,US,175,302,0,0
Country,SA,1718,263,26,19
Country,SG,3,115,0,0
Country,HK,52,86,0,0
Country,TW,8,68,0,0
Country,RU,98,47,0,0
Country,JP,77,39,0,0
Country,BR,102,29,0,0
Country,VN,1,22,0,0
Country,CA,85,17,0,0
Country,CN,20,16,0,0
Country,AR,7,15,0,0
Country,DZ,52,14,0,0
Country,EG,34,10,0,0
Country,IQ,55,9,0,0
Country,KR,57,8,0,0
Country,UA,36,7,0,0
Country,AE,40,6,0,0
Country,AU,6,6,0,0
Country,IN,16,6,0,0
Country,JO,38,6,0,0
Country,KW,66,6,0,0
Country,FR,86,5,0,0
Country,TR,120,5,0,0
Country,MX,24,4,7,4
Country,PL,10,3,0,0
Country,SK,2,3,0,0
Country,VE,0,3,0,0
Country,CO,6,3,0,0
Country,LB,0,3,0,0
Country,DE,74,2,0,0
Country,MA,12,2,0,0
Country,NZ,3,2,0,0
Country,SC,18,2,0,0
Country,PK,0,2,0,0
Country,BD,0,1,0,0
Country,BE,9,1,0,0
Country,CL,5,1,0,0
Country,GI,0,1,0,0
Country,IL,12,1,0,0
Country,IT,32,1,0,0
Country,NL,14,1,0,0
Country,PH,9,1,0,0
Country,TH,5,1,0,0
Country,CH,11,1,0,0
Country,ID,10,1,0,0
Country,LC,0,1,0,0
Country,NG,0,1,0,0
Country,SE,4,1,0,0
Country,TN,4,1,0,0
Country,UY,0,1,0,0
Country,ZA,2,1,0,0
Country,FI,0,1,0,0
Country,SD,0,1,0,0
Country,CZ,2,1,0,0
Country,GT,0,1,0,0
Country,AM,0,1,0,0
Country,GY,0,1,0,0
Country,BH,15,0,0,0
Country,GB,27,0,0,0
Country,KZ,8,0,0,0
Country,OM,22,0,0,0
Country,PS,8,0,0,0
Country,QA,20,0,0,0
Country,RE,1,0,0,0
Country,RO,6,0,0,0
Country,ES,14,0,0,0
Country,LY,5,0,0,0
Country,AT,3,0,0,0
Country,DK,1,0,0,0
Country,GR,2,0,0,0
Country,IE,6,0,0,0
Country,MD,1,0,0,0
Country,PA,3,0,0,0
Country,PE,8,0,0,0
Country,PT,2,0,0,0
Country,CM,2,0,0,0
Country,EE,1,0,0,0
Country,HR,2,0,0,0
Country,LT,1,0,0,0
Country,NO,3,0,0,0
Country,BY,3,0,0,0
Country,LK,1,0,0,0
Country,MY,4,0,0,0
Country,UZ,3,0,0,0
Country,KG,1,0,0,0
Country,GE,2,0,0,0
Country,YE,1,0,0,0
